"Name","Arm","Week12 N","Week12 fold change (log2, Mean [SE])","Week24 N","Week24 fold change (log2, Mean [SE]) ","KW Test P value","Week12 vs Week0 Dunn's Test P value","Week24 vs Week0 Dunn's Test P value"
"2-Hydroxyglutaric acid","SP",149,"-0.09 (0.04)",147,"-0.05 (0.05)",0.424452231574762,0.193813513966131,0.431253459706727
"D-Fructose","CG32",223,"-0.25 (0.05)",216,"-0.2 (0.04)",0.000112109454174878,0.000119128296089961,0.000509284483510658
"D-Fructose","CG48",233,"-0.21 (0.05)",214,"-0.24 (0.05)",2.59219848797059e-05,0.000574233628908231,1.41586533058535e-05
"D-Fructose","PB",112,"0.03 (0.06)",92,"0.11 (0.06)",0.20098217607724,0.78696017866691,0.0919940152215822
"D-Fructose","SP",149,"-0.15 (0.05)",147,"-0.23 (0.06)",0.0092823300684961,0.0429830117914307,0.00271607744013744
"D-Gluconolactone","CG32",223,"-0.26 (0.04)",216,"-0.2 (0.04)",2.55094798754026e-06,3.94365452647343e-06,4.3766692333362e-05
"D-Gluconolactone","CG48",233,"-0.24 (0.03)",214,"-0.24 (0.04)",4.59860310715368e-08,2.57055250780308e-06,1.26037433882958e-07
"D-Gluconolactone","PB",112,"-0.07 (0.05)",92,"-0.04 (0.06)",0.41717317629756,0.205387427349587,0.786898131905658
"D-Gluconolactone","SP",149,"-0.25 (0.04)",147,"-0.26 (0.04)",2.31865430232971e-05,0.000306403209009384,1.70598830309754e-05
"D-Glucose [MS]","CG32",223,"-0.27 (0.02)",216,"-0.23 (0.02)",2.28148975618022e-16,4.12810765409228e-14,1.85913038110453e-12
"D-Glucose [MS]","CG48",233,"-0.3 (0.02)",214,"-0.3 (0.02)",8.40878144476741e-21,1.15692058779605e-16,9.2721216881817e-17
"D-Glucose [MS]","PB",112,"-0.04 (0.03)",92,"-0.05 (0.04)",0.618767805707324,0.331613866251656,0.728197026030944
"D-Glucose [MS]","SP",149,"-0.21 (0.03)",147,"-0.19 (0.03)",6.7430893099716e-05,0.000138948817681562,0.000157525613610958
"D-Maltose/Alpha-Lactose","CG32",223,"0.01 (0.13)",216,"-0.15 (0.16)",0.727159766650739,0.62031838527069,0.430881209425404
"D-Maltose/Alpha-Lactose","CG48",233,"0.12 (0.14)",214,"-0.04 (0.14)",0.394594994117224,0.935889165727589,0.251441023640565
"D-Maltose/Alpha-Lactose","PB",112,"-0.05 (0.19)",92,"0.01 (0.21)",0.988624571641831,0.887294939081917,0.909136826481722
"D-Maltose/Alpha-Lactose","SP",149,"0.02 (0.18)",147,"-0.03 (0.2)",0.691915782595603,0.558888079044906,0.402976626959176
"D-Xylose","CG32",223,"-0.15 (0.05)",216,"-0.07 (0.05)",0.0382758895793647,0.012073553126967,0.422425229010877
"D-Xylose","CG48",233,"-0.2 (0.05)",214,"-0.13 (0.06)",0.00520062070925303,0.00119655289876225,0.144534092397187
"D-Xylose","PB",112,"0.01 (0.08)",92,"0.11 (0.05)",0.398144564404749,0.408966612454961,0.180038341578431
"D-Xylose","SP",149,"-0.09 (0.07)",147,"-0.07 (0.08)",0.671349452659783,0.380045640474332,0.562650610933138
"D-Xylulose","CG32",223,"-0.09 (0.05)",216,"-0.04 (0.05)",0.0873039495454077,0.028196815677544,0.395749231662056
"D-Xylulose","CG48",233,"-0.17 (0.06)",214,"-0.17 (0.05)",0.000723493377107698,0.00129029867915102,0.000824249749525183
"D-Xylulose","PB",112,"-0.02 (0.06)",92,"-0.12 (0.08)",0.803828618226672,0.509149575375681,0.73237643649407
"D-Xylulose","SP",149,"-0.06 (0.05)",147,"-0.04 (0.07)",0.675315693063455,0.477641518549103,0.415808021092576
"Decanoic acid","CG32",223,"-0.13 (0.09)",216,"-0.08 (0.09)",0.105291435918458,0.0339558998543324,0.333916678876687
"Decanoic acid","CG48",233,"-0.2 (0.07)",214,"-0.23 (0.1)",0.0458153172275252,0.0169270443219996,0.0777151206495399
"Decanoic acid","PB",112,"-0.03 (0.06)",92,"-0.04 (0.08)",0.463593522950437,0.582494471970549,0.215331623152158
"Decanoic acid","SP",149,"-0.37 (0.12)",147,"-0.22 (0.11)",0.0398118139497622,0.0164203881926531,0.0551806225214269
"Decanoylcarnitine C10","CG32",223,"-0.07 (0.05)",216,"0 (0.07)",0.316747980412177,0.242746999551556,0.780509792993889
"Decanoylcarnitine C10","CG48",233,"-0.08 (0.06)",214,"0.16 (0.05)",0.0910226699282673,0.739429872256354,0.0849728832040903
"Decanoylcarnitine C10","PB",112,"-0.13 (0.09)",92,"-0.04 (0.08)",0.616385876859116,0.493108826726852,0.343465174424295
"Decanoylcarnitine C10","SP",149,"-0.13 (0.08)",147,"0.04 (0.07)",0.399041921360718,0.257681942863128,0.935264363064247
"Deoxycholic acid","CG32",223,"0.09 (0.13)",216,"0.3 (0.14)",0.681456285868297,0.859308053593692,0.506702157203394
"Deoxycholic acid","CG48",233,"-0.34 (0.13)",214,"-0.2 (0.15)",0.213326324964854,0.0857364381874275,0.243732956275595
"Deoxycholic acid","PB",112,"-0.03 (0.19)",92,"-0.27 (0.25)",0.749781728511819,0.988019243890364,0.509586528128096
"Deoxycholic acid","SP",149,"0.37 (0.14)",147,"0.23 (0.16)",0.299399444652857,0.124500404024094,0.334671862790631
"Dimethylglycine","CG32",223,"0.05 (0.03)",216,"0.04 (0.03)",0.626454950725329,0.583163188520501,0.335743334450861
"Dimethylglycine","CG48",233,"0.1 (0.02)",214,"0.09 (0.03)",0.0526690589175422,0.0320831020782661,0.0411050986626849
"Dimethylglycine","PB",112,"0.01 (0.03)",92,"0 (0.04)",0.666662304818549,0.953803689063916,0.446119067002367
"Dimethylglycine","SP",149,"0.08 (0.03)",147,"0.01 (0.03)",0.25627570332839,0.141227570558758,0.930784122937626
"DHA","CG32",223,"-0.39 (0.06)",216,"-0.33 (0.07)",5.08077661128491e-07,3.53039826226865e-07,6.39112474993065e-05
"DHA","CG48",233,"-0.33 (0.05)",214,"-0.29 (0.05)",0.0001944687726521,0.000161551239249069,0.000887988514108495
"DHA","PB",112,"-0.1 (0.08)",92,"-0.07 (0.07)",0.517754749752518,0.28382828914299,0.879290534174264
"DHA","SP",149,"-0.17 (0.08)",147,"-0.17 (0.06)",0.177979353574443,0.113444922899242,0.102427874844628
"DPAn-6","CG32",223,"-0.32 (0.11)",216,"-0.18 (0.1)",0.00673135703376566,0.00313998537227476,0.0154596892861803
"DPAn-6","CG48",233,"-0.24 (0.08)",214,"-0.23 (0.09)",0.0101951655553613,0.00971139555047244,0.00823928555453437
"DPAn-6","PB",112,"-0.06 (0.12)",92,"-0.01 (0.13)",0.661188772928375,0.370985666175283,0.777430742605404
"DPAn-6","SP",149,"-0.17 (0.1)",147,"-0.25 (0.12)",0.203487557644235,0.127505261220836,0.117560692901038
"DPA","CG32",223,"-0.36 (0.08)",216,"-0.37 (0.08)",1.33513852728485e-05,1.72016413047701e-05,0.000129179170252455
"DPA","CG48",233,"-0.2 (0.06)",214,"-0.22 (0.07)",0.0159672944422697,0.0176422711223665,0.00985712050343424
"DPA","PB",112,"-0.11 (0.12)",92,"0.01 (0.11)",0.511051849772318,0.269558523410221,0.827122955430899
"DPA","SP",149,"-0.23 (0.1)",147,"-0.2 (0.09)",0.146734932387042,0.0816431982197351,0.0995004615464408
"Dodecanoic acid","CG32",223,"-0.05 (0.11)",216,"-0.09 (0.11)",0.5964229506552,0.393259512176827,0.369755781153481
"Dodecanoic acid","CG48",233,"-0.11 (0.08)",214,"-0.01 (0.08)",0.379319843119918,0.16650323106749,0.587817444710481
"Dodecanoic acid","PB",112,"-0.06 (0.13)",92,"0.06 (0.14)",0.409112812319713,0.368023664918895,0.660914545095063
"Dodecanoic acid","SP",149,"-0.18 (0.1)",147,"-0.12 (0.11)",0.352292877691059,0.149543975141395,0.526020678411997
"EPA","CG32",223,"-0.15 (0.08)",216,"-0.11 (0.08)",0.27520518363568,0.108721706376787,0.392396259694206
"EPA","CG48",233,"-0.12 (0.06)",214,"-0.09 (0.07)",0.612905835220904,0.350054935059338,0.458152350259853
"EPA","PB",112,"-0.04 (0.1)",92,"-0.13 (0.12)",0.995364562531228,0.991544027590698,0.928888932986665
"EPA","SP",149,"-0.08 (0.11)",147,"-0.11 (0.09)",0.797000858221065,0.525513767729921,0.608584570900135
"Erythronic acid","CG32",223,"0.03 (0.05)",216,"0.1 (0.06)",0.330784905056896,0.649672327642295,0.144586050485284
"Erythronic acid","CG48",233,"0.14 (0.05)",214,"0.12 (0.05)",0.0980387743926854,0.0344834738418834,0.161238091988431
"Erythronic acid","PB",112,"0.04 (0.07)",92,"0.02 (0.1)",0.835285679153201,0.7692186115487,0.749199997433484
"Erythronic acid","SP",149,"0.05 (0.06)",147,"0.04 (0.07)",0.801468215124151,0.506217915412194,0.757928951613762
"Fumaric acid","CG32",223,"0.08 (0.04)",216,"0.06 (0.05)",0.634687366048517,0.346316071323546,0.556805054970222
"Fumaric acid","CG48",233,"0.07 (0.05)",214,"0.14 (0.05)",0.196830085489118,0.239952991707759,0.0770487358930155
"Fumaric acid","PB",112,"-0.06 (0.06)",92,"0.11 (0.06)",0.197479911042673,0.770957633111393,0.154826174715162
"Fumaric acid","SP",149,"-0.04 (0.05)",147,"-0.1 (0.06)",0.32112213894887,0.364964549583072,0.134643931426962
"Gamma-Linolenic acid","CG32",223,"-0.24 (0.09)",216,"-0.22 (0.1)",0.0331040876120386,0.0103340895166858,0.0944455761336318
"Gamma-Linolenic acid","CG48",233,"-0.2 (0.09)",214,"-0.18 (0.1)",0.0281055016486146,0.0164160656443182,0.0276000852606929
"Gamma-Linolenic acid","PB",112,"-0.16 (0.14)",92,"0.16 (0.14)",0.748444938445632,0.776552691069606,0.449553678785802
"Gamma-Linolenic acid","SP",149,"-0.37 (0.11)",147,"-0.16 (0.11)",0.125876702312971,0.0430271256275307,0.228239245572514
"Glycolithocholic acid-3-sulfate","CG32",223,"0.17 (0.11)",216,"0.17 (0.13)",0.743725362315645,0.588492199894219,0.458695391496608
"Glycolithocholic acid-3-sulfate","CG48",233,"0 (0.1)",214,"0.14 (0.12)",0.670670626800941,0.831715572537031,0.389338712574758
"Glycolithocholic acid-3-sulfate","PB",112,"0.18 (0.17)",92,"0.21 (0.24)",0.66289526404631,0.37665480850907,0.548899970696994
"Glycolithocholic acid-3-sulfate","SP",149,"-0.18 (0.13)",147,"-0.07 (0.13)",0.452035845091433,0.219185955258889,0.710730115023558
"Glutaconic acid","CG32",223,"0.14 (0.1)",216,"0.06 (0.09)",0.922143411765348,0.691019873882891,0.89128710140209
"Glutaconic acid","CG48",233,"0.07 (0.11)",214,"0.26 (0.1)",0.117000524381141,0.243700813515194,0.0390150324380611
"Glutaconic acid","PB",112,"0.08 (0.15)",92,"0.07 (0.11)",0.960541342315407,0.780218606579693,0.858301649458605
"Glutaconic acid","SP",149,"-0.18 (0.13)",147,"-0.04 (0.15)",0.962505498747759,0.865437688427451,0.91662228765432
"Glutaric acid","CG32",223,"0.01 (0.05)",216,"0.01 (0.06)",0.654483509307791,0.35900959864242,0.606330194767086
"Glutaric acid","CG48",233,"-0.03 (0.04)",214,"0.05 (0.05)",0.588283474193997,0.370944308176466,0.995254909062888
"Glutaric acid","PB",112,"-0.02 (0.1)",92,"-0.01 (0.11)",0.948547673573056,0.748772271243221,0.917032924709755
"Glutaric acid","SP",149,"0.14 (0.08)",147,"0.12 (0.07)",0.00227626208496768,0.00143240839994551,0.00481884542312551
"Glutarylcarnitine","CG32",223,"0.05 (0.02)",216,"0.12 (0.03)",0.0630514185754615,0.165260039159486,0.019657708042857
"Glutarylcarnitine","CG48",233,"0.05 (0.03)",214,"0.05 (0.02)",0.187711901691289,0.267007206337969,0.0700803074086583
"Glutarylcarnitine","PB",112,"-0.03 (0.03)",92,"-0.01 (0.03)",0.607088320595814,0.317766246344854,0.637430654641273
"Glutarylcarnitine","SP",149,"0.03 (0.03)",147,"0 (0.04)",0.679600344578294,0.405524499604913,0.508459517987528
"Glyceric acid","CG32",223,"-0.04 (0.04)",216,"0.03 (0.04)",0.592598271039704,0.367835029425304,0.989980640568877
"Glyceric acid","CG48",233,"0.01 (0.04)",214,"0.01 (0.04)",0.627066957395702,0.33723951015956,0.569899491007769
"Glyceric acid","PB",112,"0.04 (0.06)",92,"-0.08 (0.06)",0.193259694356475,0.482757299426054,0.256943496132953
"Glyceric acid","SP",149,"-0.02 (0.06)",147,"-0.09 (0.05)",0.27946748625084,0.769102463504982,0.224935785096948
"Glycine [MS]","CG32",223,"0.11 (0.02)",216,"0.13 (0.02)",0.000429807306037202,0.00316449472717525,0.000206348905817227
"Glycine [MS]","CG48",233,"0.18 (0.02)",214,"0.15 (0.02)",7.01937121725382e-07,1.53852485217841e-06,1.34692586971855e-05
"Glycine [MS]","PB",112,"0.01 (0.03)",92,"0 (0.03)",0.939671898354616,0.904427077502571,0.814905030519389
"Glycine [MS]","SP",149,"0.03 (0.03)",147,"0.03 (0.03)",0.334454259927071,0.139350535787236,0.500154174243673
"Glycochenodeoxycholic acid","CG32",223,"-0.18 (0.1)",216,"-0.06 (0.11)",0.485311449805289,0.256624669204094,0.368594503587362
"Glycochenodeoxycholic acid","CG48",233,"-0.54 (0.12)",214,"-0.4 (0.13)",0.023034657156241,0.00644106029176029,0.101631658497049
"Glycochenodeoxycholic acid","PB",112,"0.4 (0.16)",92,"0.16 (0.16)",0.463194531286485,0.25419168734008,0.908526604901444
"Glycochenodeoxycholic acid","SP",149,"0.16 (0.12)",147,"0.07 (0.13)",0.473184626902251,0.254395066497061,0.340061590857979
"Glycocholic acid","CG32",223,"0.02 (0.09)",216,"0.12 (0.1)",0.961054507691822,0.954469098607876,0.830812935529956
"Glycocholic acid","CG48",233,"-0.32 (0.09)",214,"-0.19 (0.11)",0.0642156190165205,0.0196116609315612,0.336966161906818
"Glycocholic acid","PB",112,"0.24 (0.13)",92,"0.22 (0.12)",0.353375161786429,0.232719208465327,0.199958339318078
"Glycocholic acid","SP",149,"0.04 (0.1)",147,"0.05 (0.12)",0.70474288368187,0.864065647634708,0.426611012636486
"Glycodeoxycholic acid","CG32",223,"-0.02 (0.1)",216,"0.1 (0.12)",0.92349699829367,0.946054847264156,0.706441246253718
"Glycodeoxycholic acid","CG48",233,"-0.18 (0.1)",214,"-0.07 (0.11)",0.205525927315969,0.0974634843552391,0.802808403859623
"Glycodeoxycholic acid","PB",112,"0.3 (0.15)",92,"0 (0.18)",0.335226131670668,0.159736869016798,0.787491881127715
"Glycodeoxycholic acid","SP",149,"0.1 (0.15)",147,"0.07 (0.13)",0.848823377078912,0.919032054420052,0.589906029683164
"Glycoursodeoxycholic acid","CG32",223,"-0.19 (0.09)",216,"-0.18 (0.09)",0.220847601453605,0.14187848856839,0.127260695825738
"Glycoursodeoxycholic acid","CG48",233,"-0.26 (0.09)",214,"-0.19 (0.1)",0.0736638364065737,0.0235162358775189,0.171503536554101
"Glycoursodeoxycholic acid","PB",112,"0.27 (0.12)",92,"0.01 (0.13)",0.434259249491057,0.272861330959722,0.939347027627804
"Glycoursodeoxycholic acid","SP",149,"0.27 (0.11)",147,"0.34 (0.13)",0.163533970812565,0.140867017093817,0.075148592880742
"Glycylproline","CG32",223,"-0.11 (0.06)",216,"-0.04 (0.06)",0.14283247780379,0.0713105493115145,0.860534910320948
"Glycylproline","CG48",233,"-0.08 (0.05)",214,"-0.03 (0.07)",0.448677601996841,0.248033549993592,0.908394758369441
"Glycylproline","PB",112,"-0.09 (0.09)",92,"0.04 (0.1)",0.897443978493937,0.717692647311858,0.932623180616836
"Glycylproline","SP",149,"0.13 (0.09)",147,"0.09 (0.08)",0.143687882571368,0.0912824039161254,0.0851144913375917
"Guanidoacetic acid","CG32",223,"0.03 (0.03)",216,"0 (0.04)",0.890204003519051,0.631003001678455,0.845505426193574
"Guanidoacetic acid","CG48",233,"0.03 (0.03)",214,"0 (0.04)",0.579876051162069,0.503280307581514,0.304660326616105
"Guanidoacetic acid","PB",112,"0 (0.04)",92,"0.05 (0.05)",0.872251265586529,0.722116505388223,0.612464809064682
"Guanidoacetic acid","SP",149,"0.03 (0.05)",147,"-0.01 (0.05)",0.79933896423398,0.902450325239641,0.610790365651095
"Heptanoic acid","CG32",223,"0.38 (0.1)",216,"0.24 (0.1)",0.0643525266883525,0.0295507980986398,0.0697097180397101
"Heptanoic acid","CG48",233,"-0.22 (0.1)",214,"-0.15 (0.08)",0.107381597577027,0.0634527615335006,0.0735067898334199
"Heptanoic acid","PB",112,"0.21 (0.13)",92,"-0.01 (0.13)",0.302226213356166,0.121901996879077,0.471454797169796
"Heptanoic acid","SP",149,"-0.02 (0.1)",147,"-0.06 (0.09)",0.289617191749428,0.196444289773492,0.154286907611945
"Hexanylcarnitine","CG32",223,"-0.11 (0.05)",216,"0.01 (0.06)",0.253844729625481,0.321785552069888,0.49683503031776
"Hexanylcarnitine","CG48",233,"-0.14 (0.05)",214,"0.12 (0.04)",0.0434505167159726,0.598011532287085,0.0608131172766356
"Hexanylcarnitine","PB",112,"-0.16 (0.09)",92,"0.01 (0.07)",0.610330210181418,0.32310591017993,0.704707032415901
"Hexanylcarnitine","SP",149,"-0.06 (0.06)",147,"0.07 (0.07)",0.41139830632371,0.443976287294114,0.57324028005187
"Hippuric acid","CG32",223,"0.39 (0.12)",216,"0.48 (0.13)",0.0425475612098425,0.0480539946306093,0.020585024803655
"Hippuric acid","CG48",233,"0.28 (0.11)",214,"0.32 (0.12)",0.152018388038673,0.0798511474266214,0.112268868092548
"Hippuric acid","PB",112,"-0.12 (0.18)",92,"-0.26 (0.19)",0.765122962508671,0.779350601584448,0.466791459446184
"Hippuric acid","SP",149,"0.05 (0.13)",147,"0.1 (0.12)",0.887023053586727,0.701744959061884,0.64870332450742
"Homovanillic acid","CG32",223,"-0.02 (0.03)",216,"0.04 (0.03)",0.857678016461952,0.911294196591458,0.597017378297998
"Homovanillic acid","CG48",233,"-0.03 (0.04)",214,"-0.03 (0.04)",0.534978035906057,0.299518931202669,0.382566077149477
"Homovanillic acid","PB",112,"0.02 (0.04)",92,"0.05 (0.04)",0.996748811572427,0.99699360657614,0.942102069817487
"Homovanillic acid","SP",149,"0.01 (0.03)",147,"0 (0.03)",0.820922621525756,0.575739415414944,0.974465892405136
"Hydrocinnamic acid","CG32",223,"0.1 (0.08)",216,"0.1 (0.11)",0.694170014796442,0.450922651679085,0.473110273572225
"Hydrocinnamic acid","CG48",233,"0.18 (0.09)",214,"0.22 (0.1)",0.2765924662016,0.174522471103804,0.158848402036368
"Hydrocinnamic acid","PB",112,"-0.12 (0.1)",92,"-0.26 (0.11)",0.67993339894825,0.917461663755992,0.414595726714927
"Hydrocinnamic acid","SP",149,"-0.03 (0.12)",147,"-0.02 (0.11)",0.876971613859629,0.611344261995566,0.844156908509744
"Hydroxyphenyllactic acid","CG32",223,"0.07 (0.06)",216,"0.08 (0.07)",0.671338231175346,0.959011575712467,0.421246254418974
"Hydroxyphenyllactic acid","CG48",233,"0.01 (0.04)",214,"-0.03 (0.04)",0.796911461273031,0.50091963988842,0.762565683019328
"Hydroxyphenyllactic acid","PB",112,"-0.04 (0.05)",92,"-0.05 (0.07)",0.953241520142794,0.759456669309289,0.852679080853284
"Hydroxyphenyllactic acid","SP",149,"0.1 (0.07)",147,"0.04 (0.07)",0.532522982292963,0.263317843925147,0.521714181012287
"Hydroxypropionic acid","CG32",223,"-0.03 (0.04)",216,"0.01 (0.04)",0.804582623418342,0.529718179340478,0.896437337939596
"Hydroxypropionic acid","CG48",233,"-0.08 (0.04)",214,"-0.09 (0.04)",0.367855977237979,0.195399613063416,0.258083155910798
"Hydroxypropionic acid","PB",112,"-0.03 (0.06)",92,"-0.06 (0.05)",0.567714355416558,0.765859479592335,0.298450234962154
"Hydroxypropionic acid","SP",149,"-0.01 (0.06)",147,"-0.08 (0.06)",0.553135025123859,0.866295774535082,0.396671752324583
"Indoleacetic acid","CG32",223,"-0.18 (0.04)",216,"-0.1 (0.05)",0.00976883489094206,0.0035533452969675,0.0295737827863051
"Indoleacetic acid","CG48",233,"-0.19 (0.05)",214,"-0.15 (0.06)",0.0151138252450954,0.00883487993356676,0.0181888609029988
"Indoleacetic acid","PB",112,"-0.11 (0.07)",92,"0.07 (0.08)",0.732633641709287,0.572498594117188,0.830022652889283
"Indoleacetic acid","SP",149,"0.09 (0.05)",147,"0.03 (0.06)",0.218399056061049,0.0948930366739693,0.691073473860252
"Isocaproic acid","CG32",223,"-0.01 (0.03)",216,"-0.04 (0.03)",0.227211356508281,0.964982911679458,0.126966564359649
"Isocaproic acid","CG48",233,"-0.09 (0.03)",214,"-0.08 (0.03)",0.0275672486974357,0.00952688452741735,0.0624046782861809
"Isocaproic acid","PB",112,"0.02 (0.03)",92,"-0.01 (0.04)",0.821887941952494,0.590751219789258,0.979773704006687
"Isocaproic acid","SP",149,"0.01 (0.03)",147,"0.04 (0.04)",0.902483759053046,0.888649112094718,0.657623293533297
"Isocitric acid","CG32",223,"-0.13 (0.03)",216,"-0.13 (0.03)",0.000382196714868441,0.000816373662638276,0.000489976200600688
"Isocitric acid","CG48",233,"-0.22 (0.03)",214,"-0.15 (0.03)",4.11362667368392e-07,1.20315993223651e-07,0.00028958815913172
"Isocitric acid","PB",112,"0 (0.04)",92,"0.02 (0.04)",0.814116740804517,0.93224657772507,0.604527228221212
"Isocitric acid","SP",149,"-0.1 (0.04)",147,"-0.08 (0.04)",0.411746088893993,0.214308755410801,0.299365322488772
"Isovaleric acid","CG32",223,"-0.04 (0.05)",216,"0.01 (0.05)",0.585500810455351,0.439227373303205,0.821476569875685
"Isovaleric acid","CG48",233,"-0.06 (0.04)",214,"0.01 (0.06)",0.289871058951784,0.115601338120696,0.454082219170457
"Isovaleric acid","PB",112,"0.14 (0.12)",92,"-0.02 (0.13)",0.894410641886609,0.637626525990786,0.797281930833486
"Isovaleric acid","SP",149,"-0.07 (0.04)",147,"-0.07 (0.04)",0.672077249608213,0.483883283392798,0.407820213754341
"Ketoleucine","CG32",223,"-0.06 (0.02)",216,"-0.05 (0.02)",0.154695407643768,0.071942295237436,0.136771601816979
"Ketoleucine","CG48",233,"-0.06 (0.02)",214,"-0.07 (0.02)",0.0550277362987274,0.0567414624545122,0.0265399945114061
"Ketoleucine","PB",112,"0.01 (0.03)",92,"-0.01 (0.04)",0.98688002883232,0.908551174193152,0.963179766769044
"Ketoleucine","SP",149,"-0.09 (0.03)",147,"-0.05 (0.03)",0.331412177409554,0.140403990522202,0.368848235947667
"L-Alanine [MS]","CG32",223,"-0.11 (0.02)",216,"-0.07 (0.03)",0.00924442614524904,0.00254352984701958,0.0562836474193211
"L-Alanine [MS]","CG48",233,"-0.1 (0.02)",214,"-0.07 (0.02)",0.0354197780483343,0.0115064406728593,0.0866471667222627
"L-Alanine [MS]","PB",112,"-0.04 (0.03)",92,"-0.01 (0.03)",0.529254888035117,0.379968365672815,0.839059160394947
"L-Alanine [MS]","SP",149,"-0.05 (0.03)",147,"-0.05 (0.03)",0.501029563008119,0.629511139558109,0.242077896154332
"L-Alpha-Aminobutyric acid","CG32",223,"-0.11 (0.03)",216,"-0.08 (0.03)",0.0251540609120381,0.0116524622030466,0.035787239467579
"L-Alpha-Aminobutyric acid","CG48",233,"-0.13 (0.03)",214,"-0.08 (0.03)",0.000620278438645157,0.000247686400392961,0.00500318939636704
"L-Alpha-Aminobutyric acid","PB",112,"-0.11 (0.04)",92,"-0.04 (0.04)",0.0676240656586507,0.0299547886798907,0.753224920650236
"L-Alpha-Aminobutyric acid","SP",149,"-0.1 (0.03)",147,"-0.08 (0.03)",0.119051209791246,0.0467997166637392,0.141552615061892
"L-Asparagine","CG32",223,"0.13 (0.02)",216,"0.17 (0.02)",2.96913407978116e-06,0.000140571083421227,2.11660114491412e-06
"L-Asparagine","CG48",233,"0.17 (0.02)",214,"0.17 (0.02)",2.81284495066282e-10,4.58725290807522e-09,2.41898989407432e-08
"L-Asparagine","PB",112,"0.04 (0.03)",92,"0.02 (0.03)",0.89933975483631,0.64758417813847,0.788525211132331
"L-Asparagine","SP",149,"0.04 (0.03)",147,"0.05 (0.03)",0.249342468862669,0.103192759708038,0.264189189781551
"L-Aspartic acid","CG32",223,"-0.09 (0.03)",216,"-0.12 (0.03)",0.0147388760535321,0.0309645719253849,0.00601902803312436
"L-Aspartic acid","CG48",233,"-0.13 (0.03)",214,"-0.14 (0.04)",0.0155236934428684,0.0136442173448534,0.0118616404326323
"L-Aspartic acid","PB",112,"-0.02 (0.04)",92,"0.05 (0.06)",0.497791021159052,0.774183402104359,0.384473015953041
"L-Aspartic acid","SP",149,"-0.15 (0.05)",147,"-0.17 (0.05)",0.227786893378338,0.112355309247395,0.17195639000605
"L-Glutamic acid [MS]","CG32",223,"-0.11 (0.03)",216,"-0.13 (0.03)",0.00189372817931001,0.0245450791615168,0.000496136725304608
"L-Glutamic acid [MS]","CG48",233,"-0.15 (0.03)",214,"-0.19 (0.03)",0.000133280998985433,0.000428182092167894,0.000169628961771416
"L-Glutamic acid [MS]","PB",112,"-0.02 (0.04)",92,"0.02 (0.04)",0.69617432136101,0.962448948600096,0.441841335274184
"L-Glutamic acid [MS]","SP",149,"-0.04 (0.03)",147,"-0.06 (0.04)",0.961473217418614,0.798258592115778,0.820180524717341
"L-Glutamine [MS]","CG32",223,"0.1 (0.02)",216,"0.12 (0.02)",4.54516753405697e-05,0.000638412700937124,2.89528841672051e-05
"L-Glutamine [MS]","CG48",233,"0.14 (0.02)",214,"0.15 (0.02)",1.18385369723954e-10,5.30481985177928e-08,6.96830593000922e-10
"L-Glutamine [MS]","PB",112,"0.02 (0.02)",92,"0 (0.03)",0.527551243713404,0.542399944095543,0.584890784163064
"L-Glutamine [MS]","SP",149,"0.04 (0.03)",147,"0.04 (0.02)",0.0994584531955583,0.032046949929995,0.232936874529616
"L-Histidine [MS]","CG32",223,"0.05 (0.02)",216,"0.08 (0.02)",0.0115019270637952,0.0617332470362269,0.00321985554495098
"L-Histidine [MS]","CG48",233,"0.1 (0.02)",214,"0.08 (0.02)",4.71107693784851e-05,4.11177391108987e-05,0.000388481469781421
"L-Histidine [MS]","PB",112,"0.05 (0.03)",92,"0 (0.03)",0.356496817901353,0.421891809062579,0.507564879727018
"L-Histidine [MS]","SP",149,"0.04 (0.02)",147,"0.04 (0.02)",0.41103203623292,0.182399868008523,0.513669503885257
"L-Homocitrulline","CG32",223,"-0.17 (0.08)",216,"-0.12 (0.07)",0.403822527543753,0.234859388778775,0.258048008189948
"L-Homocitrulline","CG48",233,"0.05 (0.06)",214,"0.06 (0.06)",0.619738050696771,0.386063695825885,0.412025242929754
"L-Homocitrulline","PB",112,"0 (0.1)",92,"0.02 (0.09)",0.680718029453275,0.605682313340447,0.384585627958274
"L-Homocitrulline","SP",149,"0.07 (0.1)",147,"0.13 (0.09)",0.40782327500495,0.180830221505163,0.535189923581212
"L-Homoserine","CG32",223,"0 (0.08)",216,"-0.03 (0.09)",0.698525556355604,0.478203926567765,0.951353442410656
"L-Homoserine","CG48",233,"-0.02 (0.09)",214,"-0.03 (0.09)",0.919757248550392,0.939510003978915,0.69841830087898
"L-Homoserine","PB",112,"0.11 (0.1)",92,"0.26 (0.14)",0.122899150965721,0.0428632518218923,0.217373033057269
"L-Homoserine","SP",149,"-0.05 (0.14)",147,"0.09 (0.11)",0.467758836242558,0.647581681942045,0.222395054736353
"L-Lactic acid [MS]","CG32",223,"-0.03 (0.03)",216,"-0.04 (0.04)",0.468773812829149,0.410904032433715,0.230162911181742
"L-Lactic acid [MS]","CG48",233,"0.02 (0.04)",214,"-0.04 (0.04)",0.402671124926715,0.873366398154991,0.213015262431086
